Episode Number,Episode Name,Episode Runtime,Episode Length
1,"392: ‘Halos and Harps’, With Casey Liss",03:12:33,11553
2,"391: ‘Error -37’, With John Siracusa",02:43:34,9814
3,"390: ‘The Blurry Edge of Acceptable’, With Nilay Patel",02:02:30,7350
4,"389: ‘Two-Legged Stool’, With Gabe Rivera",02:02:30,7350
5,"388: ‘What the Actual’, With Christina Warren",02:11:17,7877
6,"387: ‘Are There Ever Too Many Love Songs?’, With Sebastiaan de With and Ben Sandofsky",02:02:15,7335
7,"386: ‘Gate Number Two’, With John Moltz",01:30:50,5450
8,"385: ‘Who’s Heef?’, With Matthew Panzarino",02:12:10,7930
9,"384: ‘Pleading the Fifth’, With Michael Simmons",01:18:57,4737
10,"383: ‘A Photocopy of a Fax’, With Jason Snell",02:46:03,9963
11,"382: ‘What’s Happening‽’, With Craig Hockenberry",01:39:43,5983
12,"381: ‘Tape Deck Dongle’, With Joanna Stern",01:55:26,6926
13,"380: ‘The M Is for Magnificent’, With Matthew Panzarino",02:04:24,7464
14,"379: ‘An Extra Kick in the Nuts’, With Christian Selig",01:55:30,6930
15,"378: ‘Live From WWDC 2023’, With John Ternus, Mike Rockwell, Craig Federighi, and Greg Joswiak",01:59:12,7152
16,"377: ‘guyenglish.zip’, With Guy English",01:58:10,7090
17,"376: ‘One True HIG’, With Neil Jhaveri",01:43:44,6224
18,"375: ‘No False Humidity’, With Jason Snell",02:11:05,7865
19,"374: ‘The Paul McCartney of Car Salesmen’, With John Moltz",01:48:22,6502
20,"373: ‘This Guy Reads a Lot Better’, With Quinn Nelson",01:53:02,6782
21,"372: ‘$8 Billion in Late Fees’, With Rene Ritchie",01:38:26,5906
22,"371: ‘The Skin of Your Pants’, With Daniel Jalkut",02:22:31,8551
23,"370: ‘Fine Hypertext Products’, With Jason Kottke",03:12:48,11568
24,"369: ‘18-Hour Bombing Mission’, With Marco Arment",03:11:58,11518
25,"368: ‘Tweeter and the Monkey Man’, With Dan Moren",01:40:00,6000
26,"367: ‘Slow-Moving Hurricane’, With Craig Hockenberry",02:50:34,10234
27,"366: ‘Measure Seven Times, Cut Once’, With Glenn Fleishman",02:33:26,9206
28,"365: ‘Permanent September’, With Rene Ritchie",02:45:12,9912
29,"364: ‘Spooky Hole’, With John Moltz",02:21:57,8517
30,"363: ‘Deliberately Churned’, With Christina Warren",02:15:03,8103
31,"362: ‘Grand Scale Foot-Shooting’, With Anil Dash",02:14:29,8069
32,"361: ‘A Fit of Pique’, With Federico Viticci",02:29:53,8993
33,"360: ‘Neither Fish Nor Fowl’, With Jason Snell",02:31:28,9088
34,"359: ‘Big Booger Came After You’, With Merlin Mann",01:37:43,5863
35,"358: ‘Double-Digit Domains’, With Paul Kafasis",02:30:40,9040
36,"357: ‘Fluent Cupertinoese’, With Nilay Patel",03:14:11,11651
37,"356: ‘An Unranted Rant’, With Rosemary Orchard",02:11:03,7863
38,"355: ‘The Creaturest of Habits’, With Daniel Jalkut",02:30:06,9006
39,"354: ‘Get Me to the Fainting Couch’, With John Moltz",02:30:58,9058
40,"353: ‘Shop Different’, With Michael Steeber",02:04:08,7448
41,"352: ‘I’ve Kissed That Mouse’, With Marco Arment",03:08:48,11328
42,"351: ‘Here You Go, Cheapskate’, With Rene Ritchie",02:02:29,7349
43,"350: ‘Your Sack of Meat With Teeth’, With Jason Snell",02:33:57,9237
44,"349: ‘Live From WWDC 2022’, With Craig Federighi and Greg Joswiak",01:25:12,5112
45,"348: ‘Joe Biden’s Gum’’, With John Moltz",01:20:38,4838
46,"347: ‘After Steve’, With Tripp Mickle",02:06:47,7607
47,"346: ‘Like Neo Dodging Bullets’, With Zach Gage",02:28:20,8900
48,"345: ‘A Fake Crank on the Web’, With Michael Simmons",01:47:19,6439
49,"344: ‘Devastation, Pessimism, and Rage’, With Glenn Fleishman",01:41:22,6082
50,"343: ‘Fussy Typography Improvements’, With Paul Kafasis",02:45:12,9912
51,"342: ‘Doggy Lake’, With Matthew Panzarino",02:03:46,7426
52,"341: ‘A Cold Glass in Hell’, With Casey Liss",02:23:21,8601
53,"340: ‘Billionaires Have Beefs’, With Tom Watson and Daniel Agee",01:59:02,7142
54,"339: ‘2006: Hard Work’, With Ken Kocienda",02:23:28,8608
55,"338: ‘That’ll Pivot His Tables’, With Rene Ritchie",02:02:01,7321
56,"337: ‘See Me After Class’, With Jason Snell",02:46:18,9978
57,"336: ‘He Looked Like a Fred’, With John Moltz",01:32:22,5542
58,"335: ‘Blofeld-69-420’, With Guy English",02:05:53,7553
59,"334: ‘High-Margin Candy Bar’, With Dieter Bohn",01:39:05,5945
60,"333: ‘Schrödinger’s Feature’, With Rene Ritchie",02:45:01,9901
61,"332: ‘The Post-Doom Era’, With Joanna Stern",01:59:09,7149
62,"331: ‘John Was the Problem’, With Merlin Mann",03:09:47,11387
63,"330: ‘Headline Goes Here’, With Jim Dalrymple",01:16:21,4581
64,"329: ‘The Scotland Board of Tourism’, With David Smith",01:29:07,5347
65,"328: ‘The Warden’s Dilemma’, With Ben Thompson",01:58:03,7083
66,"327: ‘Giddy With Mac-Ness’, With Daniel Jalkut",01:44:00,6240
67,"326: ‘A Very Large Nap’, With John Moltz",01:38:52,5932
68,"325: ‘The Negative Version of Icing on the Cake’, With Nilay Patel",02:27:57,8877
69,"324: ‘A Pretty Generic Thing You Stick in a Hole’, With Jason Snell",02:20:05,8405
70,"323: ‘Skeptical Not Cynical’, With Matthew Panzarino",01:39:31,5971
71,"322: ‘It Was More Arial Than Helvetica’, With Rene Ritchie",02:04:29,7469
72,"321: ‘Just a Standard Bird’, With MG Siegler",01:57:58,7078
73,"320: ‘Paper Floor Mats’, With Christina Warren",02:08:32,7712
74,"319: ‘You Called Him Pixel Mature’, With John Moltz",01:46:33,6393
75,"318: ‘Holes in the Blast Door’, With Matthew Panzarino",02:06:29,7589
76,"317: ‘The NOC List’, With Rene Ritchie",01:58:50,7130
77,316: Remote From WWDC 2021 With Craig Federighi and Greg Joswiak,01:24:45,5085
78,"315: ‘I Don’t Know How to Read’, With Joanna Stern",01:57:27,7047
79,"314: ‘Obviously Tier One’, With Marco Arment",02:14:58,8098
80,"313: ‘The Sour Grapes Commission’, With Glenn Fleishman",02:58:59,10739
81,"312: ‘Not to Get Zealotrous’, With Craig Mod",02:36:36,9396
82,"311: ‘Toaster Fridgey’, With Rene Ritchie",01:55:05,6905
83,"310: ‘Russian Nesting Doll Code’, With Jason Snell",02:31:56,9116
84,"309: ‘Pinkies on the Semicolon’, With John Siracusa",02:53:47,10427
85,"308: ‘Peak Hubris’, With Christina Warren",02:26:54,8814
86,"307: ‘Soviet Toilet Paper’, With John Moltz",02:37:03,9423
87,"306: ‘A Total Landscaping’, With Mike Monteiro",01:45:22,6322
88,"305: ‘Star Wars: The Mandalorian’ Holiday Spectacular, With Special Guests Guy English and John Siracusa’",03:00:41,10841
89,"304: ‘2020 Year in Review’, With Rene Ritchie",02:49:28,10168
90,"303: ‘Half of the Bikini Emoji’, With Matthew Panzarino",02:01:22,7282
91,"302: ‘Camera Beer Belly’, With Nilay Patel",02:03:40,7420
92,"301: ‘A Craptastic Craptacular’, With Joanna Stern",02:00:08,7208
93,"300: ‘Holiday Party 2020’, With Merlin Mann",01:31:34,5494
94,"299: ‘Sounds Like a Good Red Sauce Place’, With Special Guest Jason Snell",02:31:43,9103
95,"298: ‘I’m Expecting Led Zeppelin IV’, With Special Guest MG Siegler",02:24:37,8677
96,"297: ‘Subscribed to a Hamburger’, With David Smith",02:46:50,10010
97,"296: ‘Cameras Every Single Where’, With Michael Simmons",02:20:39,8439
98,"295: ‘Signing Up to Take Some Vitamins’, With Peter Kafka",01:19:32,4772
99,"294: ‘DOS Rot’, With John Moltz",01:33:53,5633
100,"293: ‘I’m More of a Porkins Guy’, With Anil Dash",02:23:57,8637
101,"292: ‘Not the Batman We Want or Need’, With Rene Ritchie",02:39:43,9583
102,"291: ‘Algorithms, How Do They Work?’, With Nilay Patel",02:21:22,8482
103,"290: ‘The Least Worst’, With Christina Warren",02:37:36,9456
104,289: ‘I’m Batman. America. Freedom.’ With Adam Lisagor,02:39:53,9593
105,288: ‘It Shouldn’t Be Hard to Get a Smoothie’ With Dan Frommer,01:24:04,5044
106,287: ‘Patina of Usefulness’ With Matthew Panzarino,01:19:40,4780
107,286: Remote From WWDC 2020 With Craig Federighi and Greg Joswiak,01:35:48,5748
108,285: ‘Fahrenheit Truthers’ With Ben Thompson,02:24:12,8652
109,284: ‘30 Years of TidBITS’ With Adam Engst,01:54:06,6846
110,283: ‘Some Kind of Sandwich’ With Dieter Bohn,01:50:05,6605
111,282: ‘Everybody Is an Expert’ With Joanna Stern,02:11:25,7885
112,281: ‘A Kryptonian Baby’ With Rene Ritchie,02:20:37,8437
113,280: ‘The Subtle Difference Between Hand Sanitizer and Vodka’ With Matthew Panzarino,02:26:17,8777
114,279: ‘Chain of Precision’ With Jason Snell,02:19:00,8340
115,278: ‘Dot Net Party’ With Federico Viticci,02:11:22,7882
116,277: ‘Polish Stink Eye’ With John Moltz,02:43:06,9786
117,"276: ‘Bring It On, Haters’ With Ben Thompson",02:47:59,10079
118,275: ‘Fake Faces’ With Glenn Fleishman,03:00:57,10857
119,274: ‘Sport Mode’ With Merlin Mann,02:01:34,7294
120,273: ‘My Cousin Hans’ With Rene Ritchie,01:59:04,7144
121,272: ‘The Save Twitch’ With Rich Siegel,01:59:04,7144
122,271: ‘A Perfect Wheel’ With Jason Snell,02:45:59,9959
123,270: ‘Talking About Crimes’ With Matthew Yglesias,01:59:08,7148
124,269: ‘Maximally Thin’ With Casey Johnston,01:50:28,6628
125,268: ‘With Ham I’d Be Better’ With Dave Mark,02:20:24,8424
126,267: ‘Just the Tips’ With John Moltz,01:56:53,7013
127,266: ‘iPhone-Colored Glasses’ With Rene Ritchie,02:21:11,8471
128,265: ‘Thompson’s Razor’ With Ben Thompson,02:25:08,8708
129,264: ‘Apple Is Not a 4-Star Company’ With Joanna Stern,02:24:38,8678
130,263: ‘The Dumbest Thing Possible’ With Dan Frommer,02:07:48,7668
131,262: ‘Freakishly Snappy’ With Brent Simmons,01:50:26,6626
132,261: ‘Contact Heineken’ With Jim Dalrymple,03:04:55,11095
133,260: ‘A Clear Eyed Look at Dishwashers’ With John Siracusa,02:23:40,8620
134,259: ‘Start a Bakin’ Timer’ With Marco Arment,01:47:31,6451
135,258: ‘Pousse-Café’ With John Moltz,02:16:42,8202
136,257: ‘A Beautiful Sandwich’ With Daniel Jalkut,02:07:00,7620
137,256: ‘A Bit Too Thin’ With Ben Thompson,01:56:22,6982
138,255: ‘Zap the PRAM’ With Jason Snell,02:46:33,9993
139,254: Live From WWDC 2019 With Craig Federighi and Greg Joswiak,01:46:52,6412
140,253: ‘An Italicized “Finally”’ With Rene Ritchie,02:21:13,8473
141,"252: ‘The Dustin Egress Problem’ With Cabel Sasser, Steven Frank, and Greg Maletic From Panic",02:10:07,7807
142,251: ‘Parking Meters in a Dirt Lot’ With Merlin Mann,01:54:54,6894
143,250: ‘A Couple of Awkward Swipes’ With MG Siegler,02:31:20,9080
144,249: ‘Better Than Nothing’ With John Moltz,02:13:38,8018
145,248: ‘Equally Confused’ With Peter Kafka,01:37:41,5861
146,247: ‘I Have Faith in the Rice’ With Paul Kafasis,02:14:24,8064
147,246: ‘Loan It to Nien Nunb’ With Matthew Panzarino,03:20:33,12033
148,245: ‘40 Hours a Day of Murder’ With Rene Ritchie,02:52:27,10347
149,244: ‘Plagiarists and Fabulists’ With Glenn Fleishman,03:04:31,11071
150,243: ‘The God Awful Truth’ With Rich Mogull,02:41:42,9702
151,242: ‘The Butts Incident’ With John Moltz,02:03:31,7411
152,241: ‘More Smarter’ With Joanna Stern,01:47:33,6453
153,240: ‘Drastically Shakier’ With Ben Thompson,02:47:55,10075
154,239: ‘Proprioceptive Lie’ With Rene Ritchie,02:26:36,8796
155,238: ‘Fort Jason Sudeikis’ With Jason Snell,03:00:50,10850
156,237: ‘Out on Home Video’ With Matthew Panzarino,02:06:52,7612
157,236: ‘A Vivid Nightmarescape’ With Dieter Bohn,02:32:52,9172
158,235: ‘Jony White’s Universe of Objective Purity’ With Rene Ritchie,02:33:41,9221
159,234: ‘Welcome to Dongletropolis’ With Merlin Mann,02:53:19,10399
160,233: ‘North Korean USB Fan’ With John Moltz,01:43:17,6197
161,232: ‘I’ll Eat My Hat’ With John Moltz,02:35:18,9318
162,231: ‘It’s a Deep Notch’ With Dan Frommer,02:27:53,8873
163,230: ‘Flabbergasting’ With Nilay Patel,01:54:08,6848
